,Value,Years,Crime,State
0,871,2001,RAPE,Andhra Pradesh
1,1002,2002,RAPE,Andhra Pradesh
2,946,2003,RAPE,Andhra Pradesh
3,1016,2004,RAPE,Andhra Pradesh
4,935,2005,RAPE,Andhra Pradesh
5,1049,2006,RAPE,Andhra Pradesh
6,1070,2007,RAPE,Andhra Pradesh
7,1257,2008,RAPE,Andhra Pradesh
8,1188,2009,RAPE,Andhra Pradesh
9,1362,2010,RAPE,Andhra Pradesh
10,1442,2011,RAPE,Andhra Pradesh
11,1341,2012,RAPE,Andhra Pradesh
12,765,2001,KIDNAPPING & ABDUCTION,Andhra Pradesh
13,854,2002,KIDNAPPING & ABDUCTION,Andhra Pradesh
14,931,2003,KIDNAPPING & ABDUCTION,Andhra Pradesh
15,1030,2004,KIDNAPPING & ABDUCTION,Andhra Pradesh
16,995,2005,KIDNAPPING & ABDUCTION,Andhra Pradesh
17,1329,2006,KIDNAPPING & ABDUCTION,Andhra Pradesh
18,1564,2007,KIDNAPPING & ABDUCTION,Andhra Pradesh
19,1396,2008,KIDNAPPING & ABDUCTION,Andhra Pradesh
20,1526,2009,KIDNAPPING & ABDUCTION,Andhra Pradesh
21,1531,2010,KIDNAPPING & ABDUCTION,Andhra Pradesh
22,1612,2011,KIDNAPPING & ABDUCTION,Andhra Pradesh
23,1403,2012,KIDNAPPING & ABDUCTION,Andhra Pradesh
24,420,2001,DOWRY DEATH,Andhra Pradesh
25,449,2002,DOWRY DEATH,Andhra Pradesh
26,466,2003,DOWRY DEATH,Andhra Pradesh
27,512,2004,DOWRY DEATH,Andhra Pradesh
28,443,2005,DOWRY DEATH,Andhra Pradesh
29,519,2006,DOWRY DEATH,Andhra Pradesh
30,613,2007,DOWRY DEATH,Andhra Pradesh
31,556,2008,DOWRY DEATH,Andhra Pradesh
32,546,2009,DOWRY DEATH,Andhra Pradesh
33,588,2010,DOWRY DEATH,Andhra Pradesh
34,599,2011,DOWRY DEATH,Andhra Pradesh
35,504,2012,DOWRY DEATH,Andhra Pradesh
36,3544,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
37,3799,2002,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
38,4128,2003,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
39,3817,2004,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
40,3595,2005,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
41,4534,2006,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
42,4406,2007,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
43,4730,2008,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
44,5147,2009,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
45,4634,2010,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
46,4849,2011,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
47,4816,2012,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,Andhra Pradesh
48,2271,2001,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
49,2024,2002,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
50,2286,2003,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
51,2310,2004,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
52,2508,2005,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
53,2411,2006,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
54,3316,2007,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
55,3551,2008,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
56,3520,2009,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
57,4562,2010,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
58,3658,2011,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
59,3714,2012,INSULT TO THE MODESTY OF WOMEN,Andhra Pradesh
60,5791,2001,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
61,7018,2002,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
62,8167,2003,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
63,8388,2004,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
64,8696,2005,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
65,9164,2006,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
66,11335,2007,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
67,10306,2008,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
68,11297,2009,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
69,12080,2010,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
70,13376,2011,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
71,13389,2012,CRUELTY BY HUSBAND OR RELATIVES,Andhra Pradesh
72,1332,2001,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
73,871,2002,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
74,349,2003,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
75,405,2004,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
76,681,2005,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
77,657,2006,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
78,612,2007,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
79,357,2008,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
80,279,2009,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
81,548,2010,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
82,497,2011,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
83,472,2012,IMMORAL TRAFFIC(PREVENTION)ACT,Andhra Pradesh
84,925,2001,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
85,2403,2002,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,Andhra Pradesh
