CUSTOMER_ID,MEMBERS,LPG_RESULT
,,
26,6,36
,,
7,5,28
,,
43,4,39
,,
23,7,44
,,
25,2,33
,,
44,7,22
,,
9,2,16
,,
17,5,18
,,
3,2,23
,,
46,7,43
,,
19,1,23
,,
4,2,26
,,
36,8,43
,,
27,4,22
,,
5,8,26
,,
33,1,31
,,
9,8,17
,,
29,4,39
,,
4,4,29
,,
32,8,14
,,
21,2,45
,,
21,6,39
,,
45,3,32
,,
12,1,21
,,
43,6,26
,,
28,7,38
,,
36,4,27
,,
34,2,41
,,
22,2,35
,,
34,7,18
,,
44,2,19
,,
19,6,15
,,
25,3,34
,,
30,7,17
,,
5,7,40
,,
7,4,45
,,
1,8,30
,,
15,8,40
,,
20,2,41
,,
9,8,43
,,
29,2,20
,,
39,1,45
,,
48,5,39
,,
23,4,43
,,
22,1,41
,,
22,3,28
,,
26,2,23
,,
2,6,13
,,
15,1,45
,,
4,6,25
,,
3,2,45
,,
24,5,18
,,
8,2,30
,,
11,6,27
,,
46,4,25
,,
7,2,23
,,
10,2,19
,,
21,8,27
,,
44,1,13
,,
50,3,28
,,
13,3,26
,,
14,7,39
,,
34,3,19
,,
18,1,40
,,
22,2,13
,,
47,2,43
,,
35,7,18
,,
2,3,15
,,
18,2,23
,,
46,4,41
,,
39,2,26
,,
28,6,18
,,
35,3,31
,,
25,5,12
,,
14,2,19
,,
33,3,41
,,
25,1,39
,,
35,3,29
,,
48,1,36
,,
29,7,40
,,
28,2,15
,,
37,2,35
,,
33,4,45
,,
28,5,33
,,
26,6,30
,,
49,5,17
,,
49,3,41
,,
28,4,33
,,
26,7,22
,,
5,3,34
,,
17,6,36
,,
36,1,39
,,
15,3,15
,,
35,6,31
,,
40,6,22
,,
45,3,45
,,
48,7,32
,,
39,3,34
,,
23,8,14
,,
43,3,42
,,
6,2,16
,,
1,6,38
,,
46,5,26
,,
25,4,35
,,
30,3,36
,,
46,4,19
,,
27,8,13
,,
22,3,24
,,
45,7,15
,,
1,8,43
,,
1,2,34
,,
44,7,14
,,
41,8,34
,,
8,2,12
,,
47,1,26
,,
47,4,29
,,
32,4,37
,,
12,2,43
,,
37,5,18
,,
12,3,23
,,
29,6,20
,,
18,5,38
,,
16,6,40
,,
21,6,26
,,
7,1,39
,,
25,2,25
,,
4,2,18
,,
39,7,19
,,
33,5,20
,,
33,1,23
,,
31,3,28
,,
30,1,20
,,
41,6,35
,,
33,5,34
,,
38,3,22
,,
5,8,22
,,
42,8,14
,,
39,8,16
,,
13,3,41
,,
45,5,28
,,
13,4,43
,,
16,5,44
,,
9,8,44
,,
4,4,19
,,
5,3,17
,,
31,1,44
,,
37,6,42
,,
6,3,40
,,
13,2,41
,,
33,5,31
,,
19,4,38
,,
8,3,35
,,
47,3,21
,,
23,6,22
,,
40,7,39
,,
25,4,32
,,
26,5,18
,,
7,4,32
,,
16,3,12
,,
13,1,13
,,
26,6,41
,,
29,1,38
,,
1,6,25
,,
36,5,22
,,
11,4,39
,,
38,6,30
,,
16,6,44
,,
3,6,23
,,
17,8,30
,,
5,2,37
,,
45,5,32
,,
33,3,19
,,
40,7,24
,,
18,6,45
,,
43,3,25
,,
43,5,17
,,
30,2,32
,,
42,4,15
,,
13,8,45
,,
25,8,21
,,
44,3,32
,,
40,2,23
,,
29,8,29
,,
12,2,43
,,
7,7,41
,,
46,7,39
,,
17,8,27
,,
47,5,39
,,
22,5,31
,,
15,6,42
,,
11,7,16
,,
2,1,23
,,
22,6,43
,,
13,4,27
,,
7,3,13
,,
38,7,32
,,
11,7,29
,,
24,8,29
,,
27,7,33
,,
9,1,38
,,
43,5,26
,,
40,5,44
,,
16,2,40
,,
12,7,25
,,
12,7,22
,,
45,5,37
,,
31,6,31
,,
2,2,32
,,
8,6,27
,,
43,1,14
,,
43,1,41
,,
38,6,22
,,
34,8,29
,,
47,3,14
,,
25,5,17
,,
16,1,43
,,
3,5,22
,,
8,7,28
,,
30,7,39
,,
9,6,29
,,
18,6,25
,,
41,3,21
,,
19,2,32
,,
45,1,13
,,
5,7,12
,,
16,5,28
,,
12,7,45
,,
32,8,27
,,
18,4,16
,,
33,6,16
,,
2,3,41
,,
24,2,14
,,
47,7,28
,,
15,8,32
,,
44,5,24
,,
15,3,17
,,
26,7,45
,,
47,4,33
,,
14,3,17
,,
20,2,21
,,
34,6,14
,,
41,4,12
,,
7,1,32
,,
15,3,43
,,
41,1,32
,,
18,6,35
,,
26,7,20
,,
32,6,30
,,
26,3,41
,,
29,4,23
,,
19,2,38
,,
40,2,44
,,
9,2,18
,,
7,6,18
,,
33,7,25
,,
45,2,38
,,
28,2,30
,,
20,3,21
,,
39,4,39
,,
31,8,17
,,
9,2,25
,,
20,3,15
,,
41,7,42
,,
40,3,44
,,
30,1,27
,,
36,2,35
,,
21,7,31
,,
44,3,17
,,
19,5,45
,,
37,3,13
,,
22,7,42
,,
36,7,34
,,
10,4,15
,,
16,2,15
,,
27,4,39
,,
20,3,22
,,
16,3,28
,,
45,4,14
,,
13,1,28
,,
10,5,18
,,
44,1,17
,,
40,4,18
,,
35,8,36
,,
41,8,19
,,
27,7,35
,,
10,8,38
,,
42,6,29
,,
35,4,14
,,
7,3,23
,,
49,4,27
,,
4,1,32
,,
37,2,44
,,
37,7,28
,,
45,5,19
,,
48,1,45
,,
15,6,39
,,
35,2,33
,,
27,7,17
,,
17,7,17
,,
31,7,40
,,
32,8,44
,,
26,4,38
,,
3,3,32
,,
32,6,40
,,
3,3,31
,,
21,7,14
,,
45,5,37
,,
38,8,13
,,
27,7,38
,,
27,4,27
,,
15,6,13
,,
6,7,16
,,
22,5,35
,,
44,3,33
,,
21,6,45
,,
41,5,30
,,
27,2,16
,,
15,4,41
,,
48,2,19
,,
36,5,21
,,
49,1,44
,,
41,4,23
,,
31,8,21
,,
24,2,23
,,
29,7,20
,,
19,5,20
,,
28,8,36
,,
45,4,21
,,
23,6,40
,,
38,2,12
,,
38,2,24
,,
2,5,15
,,
26,3,36
,,
3,7,16
,,
28,3,17
,,
49,1,26
,,
13,1,38
,,
35,7,25
,,
7,7,12
,,
10,2,31
,,
48,4,36
,,
24,4,35
,,
35,2,43
,,
14,8,15
,,
43,6,35
,,
15,8,37
,,
27,2,12
,,
5,5,19
,,
26,7,15
,,
15,7,16
,,
32,6,39
,,
18,5,37
,,
25,5,33
,,
17,7,18
,,
15,5,17
,,
45,6,28
,,
25,4,13
,,
42,1,26
,,
26,1,43
,,
3,8,28
